Team Name,Collaborator Account,Repo Creation Status,Collaborator Addition Status
log(HZ25AMC-IOT04),ArushiArunkumar,Created,Added
Craft.Co(HZ25AMC-IOT01),Yashwanthgethub,Created,Added
404Brainnotfound(HZ25AMC-IOT02),radz_15,Not attempted,Account doesn't exist
TheMavericks(HZ25AMC-IOT03),KAUSHALK123,Created,Added
Console.log(HZ25AMC-IOT04),Premraviraj,Created,Added
ElectroStorm(HZ25AMC-IOT05),Amitkumarsingh01,Created,Added
FarmionForce(HZ25AMC-IOT06),heatly,Created,Added
Heralds(HZ25AMC-IOT07),altafansari22,Created,Added
SuperNova(HZ25AMC-IOT08),santhoshkumar150822,Created,Added
Hacktastic(HZ25AMC-IOT09),AryanR1721,Created,Added
Swastik(HZ25AMC-IOT10),Sharath-mani,Created,Added
Vortex(HZ25AMC-AIML01),Elson18,Created,Added
Matrix(HZ25AMC-AIML04),Pavan-RESTs,Created,Added
RandomTeam(HZ25AMC-CS02),karnamsuchit,Created,Added
TechTitans(HZ25AMC-AIML06),Amutha30,Created,Added
Holobites(HZ25AMC-AIML07),pranava-mk,Created,Added
CodeShield(HZ25AMC-AIML08),NamrathaNRpetemane,Created,Added
SoftwareNinjas(HZ25AMC-AIML09),pradheep-git30,Created,Added
CosmicQuesters(HZ25AMC-AIML10),Iqra2243,Created,Added
CODERED(HZ25AMC-AIML11),MANOJ9902,Created,Added
CodeCure(HZ25AMC-AIML12),avinashmaharoliya,Created,Added
TeamRecursion(HZ25AMC-AIML13),git-shubhash,Created,Added
Shenanigang(HZ25AMC-W3BC01),rahilmasood,Created,Added
TechNatives(HZ25AMC-W3BC02),swet40,Created,Added
NAP_Hacks(HZ25AMC-W3BC04),priyadharshiniep05,Created,Added
Advaita(HZ25AMC-W3BC05),mauryaad1tya,Created,Added
HackElite(HZ25AMC-CS01),Vishasel,Created,Added
Vigilant(HZ25AMC-CS03),RISHIKUMARTHAKUR,Created,Added
SecureSoldiers(HZ25AMC-CS04),Goldi-thakur,Created,Added
Pheonix(HZ25AMC-CS06),abhijithr12,Created,Added
TheoryTitans(HZ25AMC-CS07),heloosy,Created,Added
Hello(HZ25AMC-IOT04),vishnumr18,Created,Added
